,text,start,duration,VideoId
45,be exact and to me it feels comfortable,108.27,4.559,OHP1rLwR6r8
46,in the hand then there's that display it,110.7,3.9,OHP1rLwR6r8
47,still has the optical fingerprint reader,112.829,4.171,OHP1rLwR6r8
48,underneath it's still HDR 10 plus,114.6,4.559,OHP1rLwR6r8
49,certified and still super color accurate,117.0,4.38,OHP1rLwR6r8
50,and much brighter than last year which,119.159,4.021,OHP1rLwR6r8
51,is key so it's super visible outdoors,121.38,5.669,OHP1rLwR6r8
52,but now it's 1080p resolution instead of,123.18,6.21,OHP1rLwR6r8
53,1440 that's a smart move that they've,127.049,5.101,OHP1rLwR6r8
54,done in the past and it's also now high,129.39,4.23,OHP1rLwR6r8
55,refresh rate at,132.15,4.259,OHP1rLwR6r8
56,90 Hertz instead of 120 Hertz I'd love,133.62,4.44,OHP1rLwR6r8
57,to get blind tested on this but I've,136.409,3.66,OHP1rLwR6r8
58,said I can personally see the difference,138.06,5.97,OHP1rLwR6r8
59,between 90 and 120 Hertz but it's small,140.069,5.551,OHP1rLwR6r8
60,and you have to be looking for it,144.03,3.629,OHP1rLwR6r8
61,but I'll definitely prefer either of,145.62,4.35,OHP1rLwR6r8
62,those two 60 Hertz because that,147.659,5.521,OHP1rLwR6r8
63,difference is visually huge so this is,149.97,5.01,OHP1rLwR6r8
64,still high refresh rate so this is a,153.18,3.3,OHP1rLwR6r8
65,cost-saving trade-off that makes perfect,154.98,3.899,OHP1rLwR6r8
66,sense it's still a really smooth,156.48,4.5,OHP1rLwR6r8
67,responsive screen we've seen other,158.879,4.021,OHP1rLwR6r8
68,phones bring high refresh rate down in,160.98,3.569,OHP1rLwR6r8
69,price so it doesn't really make this one,162.9,3.0,OHP1rLwR6r8
70,stand out anymore,164.549,3.06,OHP1rLwR6r8
71,like it used to but that's not a,165.9,3.51,OHP1rLwR6r8
72,complaint at all I'm clearly a fan of,167.609,3.24,OHP1rLwR6r8
73,high refresh rate and I'm glad to see it,169.41,3.15,OHP1rLwR6r8
74,everywhere plus if you're if you're,170.849,3.03,OHP1rLwR6r8
75,still in the mindset of you work for,172.56,2.85,OHP1rLwR6r8
76,oneplus and you're trying to cut down on,173.879,3.901,OHP1rLwR6r8
77,things you get to say you know high,175.41,4.26,OHP1rLwR6r8
78,refresh rate and high resolution are,177.78,4.53,OHP1rLwR6r8
79,nice but if you go too high on those,179.67,4.86,OHP1rLwR6r8
80,things you cut into battery life so,182.31,5.25,OHP1rLwR6r8
81,we're giving you 90 Hertz and 1080p and,184.53,4.769,OHP1rLwR6r8
82,that's a good balance to still give you,187.56,4.649,OHP1rLwR6r8
83,fast and smooth while being friendly to,189.299,4.141,OHP1rLwR6r8
84,your battery and that's turned out to be,192.209,4.261,OHP1rLwR6r8
85,absolutely true this phone has a 4300,193.44,4.74,OHP1rLwR6r8
86,milliamp hour battery and it's been,196.47,2.91,OHP1rLwR6r8
87,impressively good on battery life,198.18,3.239,OHP1rLwR6r8
88,lasting me easily through the end of,199.38,4.77,OHP1rLwR6r8
89,every day I've tested it with like 15 to,201.419,5.281,OHP1rLwR6r8
90,20 percent left over so it's honestly,204.15,4.5,OHP1rLwR6r8
91,slightly better battery life than the,206.7,4.2,OHP1rLwR6r8
92,eight pro which I've been running maxed,208.65,3.54,OHP1rLwR6r8
93,out so I guess I should expect that so,210.9,4.16,OHP1rLwR6r8
94,then there's three more trade-offs ip68,212.19,6.0,OHP1rLwR6r8
95,wireless charging and the cameras the,215.06,5.829,OHP1rLwR6r8
96,oneplus 8 doesn't have an IP 68 water,218.19,5.07,OHP1rLwR6r8
97,and dust resistance certification but,220.889,3.871,OHP1rLwR6r8
98,this is another one of those instances,223.26,3.03,OHP1rLwR6r8
99,where oneplus would probably claim,224.76,3.78,OHP1rLwR6r8
100,they've put the necessary seals and,226.29,4.05,OHP1rLwR6r8
101,pieces inside the phone and tested it,228.54,3.75,OHP1rLwR6r8
102,themselves but then passed on the,230.34,3.539,OHP1rLwR6r8
103,savings of not getting it officially,232.29,4.02,OHP1rLwR6r8
104,tested I don't know about that I haven't,233.879,4.2,OHP1rLwR6r8
105,tested mine I'll wait for the jury rig,236.31,3.87,OHP1rLwR6r8
106,everything test to see those seals thank,238.079,3.211,OHP1rLwR6r8
107,you very much but then this phone,240.18,2.22,OHP1rLwR6r8
108,straight up doesn't have wireless,241.29,3.809,OHP1rLwR6r8
109,charging at all same deals last year it,242.4,4.919,OHP1rLwR6r8
110,has a glass back but it doesn't have the,245.099,4.651,OHP1rLwR6r8
111,wireless charging coil to take advantage,247.319,4.681,OHP1rLwR6r8
112,of that glass back now at 700 bucks,249.75,4.829,OHP1rLwR6r8
113,there are a way lower number of phones,252.0,4.949,OHP1rLwR6r8
114,at this price that don't have wireless,254.579,4.5,OHP1rLwR6r8
115,charging so it's much harder to justify,256.949,3.481,OHP1rLwR6r8
116,but that's always been I guess one,259.079,3.33,OHP1rLwR6r8
117,plusses thing you know saying wireless,260.43,3.479,OHP1rLwR6r8
118,charging isn't fast enough for their,262.409,3.81,OHP1rLwR6r8
119,standards so again there's still fast,263.909,3.421,OHP1rLwR6r8
120,water charging here,266.219,4.26,OHP1rLwR6r8
121,still warped charge 30 T so zero to 50%,267.33,5.28,OHP1rLwR6r8
122,in 25 minutes and it's included in the,270.479,4.981,OHP1rLwR6r8
123,box too so all that good stuff but yet,272.61,4.41,OHP1rLwR6r8
124,no wireless charging it kind of makes me,275.46,6.0,OHP1rLwR6r8
125,wonder how much per unit like that would,277.02,5.85,OHP1rLwR6r8
126,cost like could they have just swallowed,281.46,3.449,OHP1rLwR6r8
127,their pride and put in just an ordinary,282.87,3.81,OHP1rLwR6r8
128,wireless charging coil on the phone and,284.909,3.121,OHP1rLwR6r8
129,just been like you know what finally we,286.68,4.979,OHP1rLwR6r8
130,added it probably but you know then,288.03,4.919,OHP1rLwR6r8
131,again they are trying to save money but,291.659,2.94,OHP1rLwR6r8
132,anyway last but not least there is a,292.949,4.44,OHP1rLwR6r8
133,different and lesser camera array in the,294.599,5.07,OHP1rLwR6r8
134,oneplus 8 on paper it's a 48 megapixel,297.389,4.5,OHP1rLwR6r8
135,main sensor and a different one from the,299.669,5.161,OHP1rLwR6r8
136,pro then a 16 megapixel ultra wide,301.889,6.391,OHP1rLwR6r8
137,camera and a dedicated 2 megapixel macro,304.83,5.88,OHP1rLwR6r8
138,no telephoto and to me that's the,308.28,3.96,OHP1rLwR6r8
139,correct one to leave out but it's funny,310.71,3.57,OHP1rLwR6r8
140,there's still a telephoto button in the,312.24,4.2,OHP1rLwR6r8
141,camera app which punches into 2x but,314.28,4.83,OHP1rLwR6r8
142,like LG did with the v60 that's just a,316.44,4.77,OHP1rLwR6r8
143,digital crop in from the main sensor,319.11,4.739,OHP1rLwR6r8
144,which honestly looks just as good if not,321.21,5.19,OHP1rLwR6r8
145,better than a cheap telephoto would have,323.849,5.13,OHP1rLwR6r8
146,now this dedicated macro camera it's,326.4,4.949,OHP1rLwR6r8
147,kind of fun but honestly not very good,328.979,3.69,OHP1rLwR6r8
148,quality and I'm not just saying that,331.349,3.6,OHP1rLwR6r8
149,because it's 2 megapixels like it's just,332.669,4.5,OHP1rLwR6r8
150,lacking quality it's not a great dynamic,334.949,4.351,OHP1rLwR6r8
151,range and not great color overall,337.169,4.321,OHP1rLwR6r8
152,quality is pretty lacking so you know I,339.3,4.079,OHP1rLwR6r8
153,have some fun taking some macros with it,341.49,3.179,OHP1rLwR6r8
154,but I think it's one of those cameras,343.379,2.85,OHP1rLwR6r8
155,that you'd forget about after the first,344.669,3.93,OHP1rLwR6r8
156,week and then the main camera it does,346.229,4.47,OHP1rLwR6r8
157,have a 48 megapixel number attached to,348.599,3.841,OHP1rLwR6r8
158,it but again it's a step down from,350.699,3.9,OHP1rLwR6r8
159,flagship quality in sharpness and detail,352.44,4.83,OHP1rLwR6r8
160,and in colors and just overall,354.599,3.99,OHP1rLwR6r8
161,performance I mean it feels like the,357.27,4.049,OHP1rLwR6r8
162,classic one plus of the past amazing,358.589,4.89,OHP1rLwR6r8
163,everything else on the phone subpar,361.319,3.84,OHP1rLwR6r8
164,camera honestly if you're serious about,363.479,3.211,OHP1rLwR6r8
165,camera quality you probably shouldn't be,365.159,2.82,OHP1rLwR6r8
166,looking at this phone you should check,366.69,3.87,OHP1rLwR6r8
167,out something like the pixel 3a or even,367.979,3.541,OHP1rLwR6r8
168,the brand-new,370.56,4.139,OHP1rLwR6r8
169,air quotes brand new iPhone se which,371.52,4.949,OHP1rLwR6r8
170,looks like it'll have a flagship quality,374.699,4.861,OHP1rLwR6r8
171,camera for 399 an iPhone quality camera,376.469,5.281,OHP1rLwR6r8
172,for 399 so definitely stay tuned for the,379.56,4.199,OHP1rLwR6r8
173,video when I get my hands on that phone,381.75,3.87,OHP1rLwR6r8
174,very soon should be a fun video also in,383.759,3.84,OHP1rLwR6r8
175,case you've been wondering what color,385.62,4.38,OHP1rLwR6r8
176,this phone is just because it's it's,387.599,3.6,OHP1rLwR6r8
177,looked like a different color and like,390.0,2.699,OHP1rLwR6r8
178,every shot in this video this,391.199,5.7,OHP1rLwR6r8
179,interstellar glow is a nightmare,392.699,6.181,OHP1rLwR6r8
180,honestly it's definitely unique I'll,396.899,4.481,OHP1rLwR6r8
181,give it that this finish underneath the,398.88,4.87,OHP1rLwR6r8
182,gives it a different refraction index,401.38,4.53,OHP1rLwR6r8
183,from different angles you get all kinds,403.75,4.44,OHP1rLwR6r8
184,of wild colors reflecting off of it but,405.91,3.54,OHP1rLwR6r8
185,it's a hundred percent one of those,408.19,3.24,OHP1rLwR6r8
186,phones that looks better on camera and,409.45,4.23,OHP1rLwR6r8
187,in promos than it does in real life this,411.43,3.87,OHP1rLwR6r8
188,thing catches more finger prints than,413.68,3.83,OHP1rLwR6r8
189,the CSI agent of the month do I even,415.3,6.26,OHP1rLwR6r8
190,don't even have to make this segue,417.51,4.05,OHP1rLwR6r8
191,dangerously close to lioness territory,422.04,3.31,OHP1rLwR6r8
192,well you should you should consider,424.21,3.27,OHP1rLwR6r8
193,something a little more low-key channel,425.35,3.48,OHP1rLwR6r8
194,sponsor debrand will help you clean up,427.48,3.36,OHP1rLwR6r8
195,your act if you accidentally pull the,428.83,3.54,OHP1rLwR6r8
196,trigger on this colorway of the phone,430.84,4.11,OHP1rLwR6r8
197,personally I think this black camo looks,432.37,3.9,OHP1rLwR6r8
198,pretty tight so all right here's my,434.95,4.47,OHP1rLwR6r8
199,summary for 1+8 aside from the crazy,436.27,5.55,OHP1rLwR6r8
200,color I really like this phone it's got,439.42,4.47,OHP1rLwR6r8
201,a great display it's great performer for,441.82,4.08,OHP1rLwR6r8
202,the price obviously really high in specs,443.89,4.02,OHP1rLwR6r8
203,it's not the king for this price but,445.9,3.69,OHP1rLwR6r8
204,it's great performer it's got the fast,447.91,3.45,OHP1rLwR6r8
205,charging it's included in the box,449.59,3.96,OHP1rLwR6r8
206,it's got oxygen OS to which I've talked,451.36,3.57,OHP1rLwR6r8
207,about in the past as one of my favorite,453.55,3.75,OHP1rLwR6r8
208,Android overlays and I frequently get,454.93,4.47,OHP1rLwR6r8
209,software updates too so it's it's a,457.3,3.78,OHP1rLwR6r8
210,clean package I could tailor this phone,459.4,3.3,OHP1rLwR6r8
211,right now and I'd probably be super,461.08,4.02,OHP1rLwR6r8
212,happy it also happens to be one of the,462.7,5.28,OHP1rLwR6r8
213,absolute cheapest 5g compatible phones,465.1,5.28,OHP1rLwR6r8
214,on the market right now it's not why I,467.98,4.62,OHP1rLwR6r8
215,would buy it but that is a nice bonus,470.38,4.71,OHP1rLwR6r8
216,for longevity having the phone for four,472.6,4.62,OHP1rLwR6r8
217,or five years but it's not it's not,475.09,4.47,OHP1rLwR6r8
218,amazing it's not it's not some special,477.22,5.22,OHP1rLwR6r8
219,phone like it used to be and really it's,479.56,5.46,OHP1rLwR6r8
220,the stratification of phone prices over,482.44,4.77,OHP1rLwR6r8
221,these past couple years that has caused,485.02,3.99,OHP1rLwR6r8
222,this situation like I remember this just,487.21,3.63,OHP1rLwR6r8
223,a couple years ago maybe it was longer,489.01,3.72,OHP1rLwR6r8
224,than I think but high-end phones used to,490.84,4.86,OHP1rLwR6r8
225,just be like five 600 maybe 650 bucks,492.73,5.16,OHP1rLwR6r8
226,700 bucks and so it felt like you were,495.7,4.92,OHP1rLwR6r8
227,either reaching for racing for the top,497.89,4.17,OHP1rLwR6r8
228,for the absolute highest end,500.62,5.04,OHP1rLwR6r8
229,bleeding-edge best phone or racing to,502.06,5.55,OHP1rLwR6r8
230,the bottom for the cheapest phone the,505.66,4.8,OHP1rLwR6r8
231,best budget phone and so one plus came,507.61,4.92,OHP1rLwR6r8
232,along and it sort of slipped right in,510.46,3.6,OHP1rLwR6r8
233,the middle they were undercutting the,512.53,3.689,OHP1rLwR6r8
234,flagships they positioned the cells as,514.06,4.01,OHP1rLwR6r8
235,flagship killers because they were,516.219,4.831,OHP1rLwR6r8
236,somewhere in the middle but now today we,518.07,6.52,OHP1rLwR6r8
237,have what like 200 to $300 budget phones,521.05,8.01,OHP1rLwR6r8
238,we have our 400 500 $600 mid-range,524.59,7.97,OHP1rLwR6r8
239,phones then we have our seven eight $900,529.06,5.43,OHP1rLwR6r8
240,premium phones then we,532.56,6.16,OHP1rLwR6r8
241,four thousand eleven hundred $1400 ultra,534.49,7.2,OHP1rLwR6r8
242,premium flagship phones and so there's,538.72,4.71,OHP1rLwR6r8
243,more chaos there's more activity than,541.69,3.06,OHP1rLwR6r8
244,ever at like all of these different,543.43,3.66,OHP1rLwR6r8
245,price ranges so today at this price for,544.75,5.7,OHP1rLwR6r8
246,$6.99 you could get this or you could,547.09,5.01,OHP1rLwR6r8
247,get if you wanted a smaller phone you,550.45,4.53,OHP1rLwR6r8
248,could get galaxy s 10 e or if you,552.1,4.95,OHP1rLwR6r8
249,absolutely had to have 120 Hertz you,554.98,5.13,OHP1rLwR6r8
250,could get the Polka phone x2 or if you,557.05,4.65,OHP1rLwR6r8
251,had to have a gaming phone you could get,560.11,3.63,OHP1rLwR6r8
252,the red magic phone or if you absolutely,561.7,4.11,OHP1rLwR6r8
253,wanted the best camera quality you,563.74,4.71,OHP1rLwR6r8
254,should go for pixel 3a or even the new,565.81,7.17,OHP1rLwR6r8
255,iPhone se plus earpods Pro plus a,568.45,6.18,OHP1rLwR6r8
256,wireless charger I usually don't go,572.98,4.23,OHP1rLwR6r8
257,super in-depth with price in my reviews,574.63,4.05,OHP1rLwR6r8
258,just because that is one of those things,577.21,4.23,OHP1rLwR6r8
259,that usually changes over time but I,578.68,4.5,OHP1rLwR6r8
260,think that's that's something I'm gonna,581.44,3.06,OHP1rLwR6r8
261,be changing now just because the,583.18,4.02,OHP1rLwR6r8
262,positioning of these phones maybe ever,584.5,4.29,OHP1rLwR6r8
263,since like the essential phone sometimes,587.2,5.01,OHP1rLwR6r8
264,is the reason why they they live or die,588.79,4.95,OHP1rLwR6r8
265,but yeah one plus eight it's a nice,592.21,4.08,OHP1rLwR6r8
266,phone it's not special anymore but it is,593.74,4.59,OHP1rLwR6r8
267,one of the favorites in this awkward,596.29,5.16,OHP1rLwR6r8
268,middle child price point of $6.99 to,598.33,5.58,OHP1rLwR6r8
269,start but yeah look around there's a,601.45,4.62,OHP1rLwR6r8
270,whole landscape out there thanks to the,603.91,3.93,OHP1rLwR6r8
271,stratification of pricing I guess but,606.07,4.17,OHP1rLwR6r8
272,maybe you can watch other videos about,607.84,4.5,OHP1rLwR6r8
273,those other options too either way,610.24,3.99,OHP1rLwR6r8
274,thanks for watching this one catch you,612.34,6.5,OHP1rLwR6r8
275,guys in the next one very soon peace,614.23,4.61,OHP1rLwR6r8
0,[Music],1.21,7.27,XRiUNPf-_-4
1,what's up guys mkbhd here and this is,10.639,7.511,XRiUNPf-_-4
2,the 1 plus 70 so if you followed the,13.5,6.689,XRiUNPf-_-4
3,leaks take a a promo you've probably,18.15,3.78,XRiUNPf-_-4
4,seen pretty much every angle of this,20.189,3.51,XRiUNPf-_-4
5,thing but now it's officially been,21.93,4.14,XRiUNPf-_-4
6,unveiled I've been using it daily for,23.699,4.861,XRiUNPf-_-4
7,about a week and this is a pretty easy,26.07,4.5,XRiUNPf-_-4
8,phone to explain so one plus the company,28.56,3.209,XRiUNPf-_-4
9,they have they're sort of upper,30.57,3.21,XRiUNPf-_-4
10,mid-range phones somewhere around five,31.769,3.481,XRiUNPf-_-4
11,hundred six hundred dollars like one,33.78,3.959,XRiUNPf-_-4
12,plus seven then they have their premium,35.25,4.77,XRiUNPf-_-4
13,high-end flagship stuff like one plus,37.739,4.531,XRiUNPf-_-4
14,seven pro that's closer to seven eight,40.02,4.19,XRiUNPf-_-4
15,hundred bucks so this phone the one plus,42.27,5.43,XRiUNPf-_-4
16,seventy kind of kind of a hard name to,44.21,5.11,XRiUNPf-_-4
17,say out loud it's not the seventy but,47.7,4.98,XRiUNPf-_-4
18,it's the one plus seventy this phone is,49.32,6.329,XRiUNPf-_-4
19,sort of a Frankenstein between those two,52.68,3.57,XRiUNPf-_-4
20,groups,55.649,2.46,XRiUNPf-_-4
21,it's right between the super high end,56.25,4.26,XRiUNPf-_-4
22,and the upper mid-range if that makes,58.109,2.941,XRiUNPf-_-4
23,any sense,60.51,2.4,XRiUNPf-_-4
24,so to be perfectly clear it is a really,61.05,3.09,XRiUNPf-_-4
25,great phone for the price which is,62.91,2.999,XRiUNPf-_-4
26,basically the oneplus special at this,64.14,3.9,XRiUNPf-_-4
27,point they've continued this fascinating,65.909,4.411,XRiUNPf-_-4
28,slow creep up in price but when you go,68.04,3.39,XRiUNPf-_-4
29,over this phone and everything they've,70.32,2.94,XRiUNPf-_-4
30,combined in here it's pretty on point,71.43,41.43,XRiUNPf-_-4
31,for what you're getting for $599.95,73.26,41.219,XRiUNPf-_-4
32,combination of things despite not being,112.86,3.869,XRiUNPf-_-4
33,the highest end display you know it gets,114.479,4.261,XRiUNPf-_-4
34,pretty bright up to a thousand knits so,116.729,4.411,XRiUNPf-_-4
35,outdoor visibility is no problem and the,118.74,4.589,XRiUNPf-_-4
36,teardrop not being a little smaller,121.14,4.47,XRiUNPf-_-4
37,makes it super easy to ignore on this,123.329,6.391,XRiUNPf-_-4
38,gigantic screen but it's also 1080p not,125.61,6.75,XRiUNPf-_-4
39,1440 and the bezels are just a little,129.72,3.75,XRiUNPf-_-4
40,bit thicker a tiny,132.36,3.03,XRiUNPf-_-4
41,a bit as you can see and I have noticed,133.47,5.07,XRiUNPf-_-4
42,some real off-axis color tint and rain,135.39,5.1,XRiUNPf-_-4
43,bowing and other consistencies like that,138.54,3.96,XRiUNPf-_-4
44,that you'll notice on not so high-end,140.49,4.68,XRiUNPf-_-4
45,OLED displays so it's not the super best,142.5,4.13,XRiUNPf-_-4
46,of the best but it's like right,145.17,3.69,XRiUNPf-_-4
47,underneath it's right in between it's,146.63,3.52,XRiUNPf-_-4
48,making sense right they're bringing,148.86,3.15,XRiUNPf-_-4
49,things down from the higher end phone,150.15,4.35,XRiUNPf-_-4
50,that makes sense while keeping the sort,152.01,3.09,XRiUNPf-_-4
51,of baseline,154.5,2.55,XRiUNPf-_-4
52,of the mid-range the high refresh rate I,155.1,3.3,XRiUNPf-_-4
53,think is the most important thing that,157.05,3.42,XRiUNPf-_-4
54,they brought down that I just I love me,158.4,3.93,XRiUNPf-_-4
55,some 90 Hertz some high refresh rate,160.47,4.2,XRiUNPf-_-4
56,goodness so that's good to see and then,162.33,4.23,XRiUNPf-_-4
57,just the design of this phone in general,164.67,4.08,XRiUNPf-_-4
58,is also a bit of a Frankenstein you've,166.56,3.54,XRiUNPf-_-4
59,probably noticed it by now there's this,168.75,3.99,XRiUNPf-_-4
60,or a blue color again although this time,170.1,5.22,XRiUNPf-_-4
61,it's not as matte as before it's kind of,172.74,4.469,XRiUNPf-_-4
62,closer to like a satin because it has,175.32,4.08,XRiUNPf-_-4
63,more of a sheen to it it's not really,177.209,4.321,XRiUNPf-_-4
64,glossy like some other phones but you,179.4,4.02,XRiUNPf-_-4
65,definitely do still see fingerprints,181.53,4.98,XRiUNPf-_-4
66,much more than a matte phone so it's,183.42,5.31,XRiUNPf-_-4
67,somewhere in between again the 7 pro is,186.51,3.96,XRiUNPf-_-4
68,more matte than this one but here's some,188.73,3.57,XRiUNPf-_-4
69,other improvements you do have the alert,190.47,3.6,XRiUNPf-_-4
70,slider is tighter so it's it's more,192.3,3.42,XRiUNPf-_-4
71,satisfying to move between the three,194.07,3.36,XRiUNPf-_-4
72,positions so that's pretty sweet,195.72,3.33,XRiUNPf-_-4
73,they brought down the high-end really,197.43,3.809,XRiUNPf-_-4
74,precise haptic motor that's honestly,199.05,3.9,XRiUNPf-_-4
75,only really matched on Android by the,201.239,3.331,XRiUNPf-_-4
76,pixel at this point so that was great,202.95,3.81,XRiUNPf-_-4
77,and they brought the optical fingerprint,204.57,3.69,XRiUNPf-_-4
78,reader underneath the glass that's also,206.76,3.63,XRiUNPf-_-4
79,the same sensor as the one from the 7,208.26,4.56,XRiUNPf-_-4
80,Pro and I think one of the best in any,210.39,4.2,XRiUNPf-_-4
81,phone under the glass right now the,212.82,3.54,XRiUNPf-_-4
82,speakers are also just as good as a 7,214.59,3.48,XRiUNPf-_-4
83,throat they sound loud and full and,216.36,3.659,XRiUNPf-_-4
84,there's also a bigger speaker grow up at,218.07,5.58,XRiUNPf-_-4
85,the top and charging is now even faster,220.019,6.69,XRiUNPf-_-4
86,so they're calling it warp charge 30 T,223.65,5.64,XRiUNPf-_-4
87,it's still a 30 watt fast charger but,226.709,4.231,XRiUNPf-_-4
88,thanks to improved battery chemistry in,229.29,3.84,XRiUNPf-_-4
89,the 3800 milliamp hour battery in this,230.94,5.579,XRiUNPf-_-4
90,phone it'll charge 23% faster then warp,233.13,6.18,XRiUNPf-_-4
91,charge 30 already did so in other words,236.519,4.771,XRiUNPf-_-4
92,it's silly fast and it's kind of a you,239.31,4.32,XRiUNPf-_-4
93,know a different philosophy on battery,241.29,4.8,XRiUNPf-_-4
94,management on one hand I love you know,243.63,4.35,XRiUNPf-_-4
95,the little chunkier phones that'll have,246.09,4.709,XRiUNPf-_-4
96,this massive battery inside and all-day,247.98,4.11,XRiUNPf-_-4
97,battery life it changes the way I use,250.799,3.0,XRiUNPf-_-4
98,phones I didn't worry about charging,252.09,3.149,XRiUNPf-_-4
99,ever during the day but on the other,253.799,3.391,XRiUNPf-_-4
100,hand a phone that's really trim like,255.239,5.28,XRiUNPf-_-4
101,this that has crazy fast charging just,257.19,4.979,XRiUNPf-_-4
102,lets you have this peace of mind at any,260.519,3.361,XRiUNPf-_-4
103,time you're starting to get low you can,262.169,3.721,XRiUNPf-_-4
104,just plug in for a couple minutes and be,263.88,3.16,XRiUNPf-_-4
105,right back up to set,265.89,3.28,XRiUNPf-_-4
106,80% so it's like a different kind of,267.04,3.93,XRiUNPf-_-4
107,confidence in the battery I don't really,269.17,3.45,XRiUNPf-_-4
108,have a preference between the two it,270.97,4.05,XRiUNPf-_-4
109,would be great to have both but as of,272.62,4.2,XRiUNPf-_-4
110,right now I like having this we're,275.02,3.87,XRiUNPf-_-4
111,charged 30 t they say we'll get you to,276.82,5.7,XRiUNPf-_-4
112,70% from dead in half an hour and that's,278.89,5.19,XRiUNPf-_-4
113,awesome and I believe that but I'm even,282.52,2.79,XRiUNPf-_-4
114,more impressed by just how much you can,284.08,3.27,XRiUNPf-_-4
115,add from plugging in for five minutes,285.31,4.23,XRiUNPf-_-4
116,ten minutes and just giving you a,287.35,3.6,XRiUNPf-_-4
117,massive boost for the rest of the day so,289.54,3.15,XRiUNPf-_-4
118,the seventy does have decent battery,290.95,3.42,XRiUNPf-_-4
119,life but this is the steady compromise,292.69,3.39,XRiUNPf-_-4
120,they make for not having the best,294.37,3.93,XRiUNPf-_-4
121,battery life and then of course the,296.08,7.14,XRiUNPf-_-4
122,gigantic camera circle on the back it's,298.3,7.23,XRiUNPf-_-4
123,genuinely I think the first design from,303.22,4.29,XRiUNPf-_-4
124,oneplus that doesn't feel to me like,305.53,3.99,XRiUNPf-_-4
125,really sleek or clean like they've done,307.51,4.89,XRiUNPf-_-4
126,triple cameras before even but this one,309.52,4.62,XRiUNPf-_-4
127,is very different it kind of reminds me,312.4,4.89,XRiUNPf-_-4
128,of somewhere between Motorola or the red,314.14,5.28,XRiUNPf-_-4
129,hydrogen or you might even remember the,317.29,4.11,XRiUNPf-_-4
130,Nokia Lumia series back in the day so,319.42,3.54,XRiUNPf-_-4
131,anything is these are essentially the,321.4,3.78,XRiUNPf-_-4
